ref_id,cited_title,verified_title,cited_authors,verified_authors,cited_venue,verified_venue,doi_or_arxiv,url,status,note,retrieved_utc,applied_authors,applied_venue,fix_applied
hoerl1970ridge,Ridge Regression: Biased Estimation for Nonorthogonal Problems,Ridge Regression: Biased Estimation for Nonorthogonal Problems,Arthur E. Hoerl and Robert W. Kennard,Arthur E. Hoerl; Robert W. Kennard,Technometrics,Technometrics; 12; 55-67,10.1080/00401706.1970.10488634,https://api.crossref.org/works/10.1080/00401706.1970.10488634,OK,Publisher-deposited Crossref bibliographic record.,2026-09-15T13:56:23.660973+00:00,Arthur E. Hoerl and Robert W. Kennard,Technometrics,False
gneiting2007proper,"Strictly Proper Scoring Rules, Prediction, and Estimation","Strictly Proper Scoring Rules, Prediction, and Estimation",Tilmann Gneiting and Adrian E. Raftery,Tilmann Gneiting; Adrian E Raftery,J. Amer. Statist. Assoc.,Journal of the American Statistical Association; 102; 359-378,10.1198/016214506000001437,https://api.crossref.org/works/10.1198/016214506000001437,OK,Publisher-deposited Crossref bibliographic record.,2026-09-15T13:56:23.752486+00:00,Tilmann Gneiting and Adrian E. Raftery,J. Amer. Statist. Assoc.,False
angelopoulos2023conformal,Conformal Prediction: A Gentle Introduction,Conformal Prediction: A Gentle Introduction,Anastasios N. Angelopoulos and Stephen Bates,Anastasios N. Angelopoulos; Stephen Bates,Found. Trends Mach. Learn.,"Foundations and Trends in Machine Learning 16(4):494-591, 2023",10.1561/2200000101,https://www.nowpublishers.com/article/DownloadSummary/MAL-101,OK,Publisher summary verified via indexed primary PDF after Crossref HTTP 429; DOI and pages match.,,Anastasios N. Angelopoulos and Stephen Bates,Found. Trends Mach. Learn.,False
mittal2025isaaclab,{Isaac Lab}: A GPU-Accelerated Simulation Framework for Multi-Modal Robot Learning,Isaac Lab: A GPU-Accelerated Simulation Framework for Multi-Modal Robot Learning,Mayank Mittal and Pascal Roth and James Tigue and Antoine Richard and others,"NVIDIA; :; Mittal, Mayank; Roth, Pascal; Tigue, James; Richard, Antoine; Zhang, Octi; Du, Peter; Serrano-Muñoz, Antonio; Yao, Xinjie; Zurbrügg, René; Rudin, Nikita; Wawrzyniak, Lukasz; Rakhsha, Milad; Denzler, Alain; Heiden, Eric; Borovicka, Ales; Ahmed, Ossama; Akinola, Iretiayo; Anwar, Abrar; Carlson, Mark T.; Feng, Ji Yuan; Garg, Animesh; Gasoto, Renato; Gulich, Lionel; Guo, Yijie; Gussert, M.; Hansen, Alex; Kulkarni, Mihir; Li, Chenran; Liu, Wei; Makoviychuk, Viktor; Malczyk, Grzegorz; Mazhar, Hammad; Moghani, Masoud; Murali, Adithyavairavan; Noseworthy, Michael; Poddubny, Alexander; Ratliff, Nathan; Rehberg, Welf; Schwarke, Clemens; Singh, Ritvik; Smith, James Latham; Tang, Bingjie; Thaker, Ruchik; Trepte, Matthew; Van Wyk, Karl; Yu, Fangzhou; Millane, Alex; Ramasamy, Vikram; Steiner, Remo; Subramanian, Sangeeta; Volk, Clemens; Chen, CY; Jawale, Neel; Kuruttukulam, Ashwin Varghese; Lin, Michael A.; Mandlekar, Ajay; Patzwaldt, Karsten; Welsh, John; Zhao, Huihua; Anes, Fatima; Lafleche, Jean-Francois; Moënne-Loccoz, Nicolas; Park, Soowan; Stepinski, Rob; Van Gelder, Dirk; Amevor, Chris; Carius, Jan; Chang, Jumyung; Chen, Anka He; Ciechomski, Pablo de Heras; Daviet, Gilles; Mohajerani, Mohammad; von Muralt, Julia; Reutskyy, Viktor; Sauter, Michael; Schirm, Simon; Shi, Eric L.; Terdiman, Pierre; Vilella, Kenny; Widmer, Tobias; Yeoman, Gordon; Chen, Tiffany; Grizan, Sergey; Li, Cathy; Li, Lotus; Smith, Connor; Wiltz, Rafael; Alexis, Kostas; Chang, Yan; Chu, David; Fan, Linxi ""Jim""; Farshidian, Farbod; Handa, Ankur; Huang, Spencer; Hutter, Marco; Narang, Yashraj; Pouya, Soha; Sheng, Shiwei; Zhu, Yuke; Macklin, Miles; Moravanszky, Adam; Reist, Philipp; Guo, Yunrong; Hoeller, David; State, Gavriel",arXiv preprint arXiv:2511.04831,Code and documentation are available here: this https URL,2511.04831,https://arxiv.org/abs/2511.04831,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:23.492404+00:00,Mayank Mittal and Pascal Roth and James Tigue and Antoine Richard and others,arXiv preprint arXiv:2511.04831,False
physprobe2026dataset,{PhysProbe Dynamics Probing Dataset},leesangoh/dynamics-probing,{leesangoh},leesangoh,Hugging Face Datasets,Hugging Face Datasets,,https://huggingface.co/api/datasets/leesangoh/dynamics-probing/revision/b679fcf0a800d60f0d5064304e0e8777392f34dd,OK,Exact pinned dataset commit checked.,2026-09-15T13:56:24.442626+00:00,{leesangoh},,False
coumans2022pybullet,{PyBullet} Quickstart Guide,PyBullet Quickstart Guide,Erwin Coumans and Yunfei Bai,Erwin Coumans; Yunfei Bai,Bullet Physics,Bullet Physics official repository,,https://raw.githubusercontent.com/bulletphysics/bullet3/master/docs/pybullet_quickstartguide.pdf,OK,Official guide PDF fetched; 2022 edition date requires PDF audit.,2026-09-15T13:56:24.693167+00:00,Erwin Coumans and Yunfei Bai,,False
wang2026phys2real,{Phys2Real}: Fusing {VLM} Priors with Interactive Online Adaptation for Uncertainty-Aware Sim-to-Real Manipulation,Phys2Real: Fusing VLM Priors with Interactive Online Adaptation for Uncertainty-Aware Sim-to-Real Manipulation,Maggie Wang and Stephen Tian and Aiden Swann and Ola Shorinwa and Jiajun Wu and Mac Schwager,"Wang, Maggie; Tian, Stephen; Swann, Aiden; Shorinwa, Ola; Wu, Jiajun; Schwager, Mac",IEEE International Conference on Robotics and Automation (ICRA),Accepted to IEEE International Conference on Robotics and Automation (ICRA) 2026,2510.11689,https://arxiv.org/abs/2510.11689,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:24.012535+00:00,Maggie Wang and Stephen Tian and Aiden Swann and Ola Shorinwa and Jiajun Wu and Mac Schwager,IEEE International Conference on Robotics and Automation (ICRA),False
he2026rigpi,{RigPI}: Dynamic Parameter Identification of Rigid Body via {VLM}-Seeded Differentiable Simulation,RigPI: Dynamic Parameter Identification of Rigid Body via VLM-Seeded Differentiable Simulation,Xincheng He and Rongrong Zhang and Wei Jiang and Wenqiang Xu,"He, Xincheng; Zhang, Rongrong; Jiang, Wei; Xu, Wenqiang",,Accepted to IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2027),2606.25212,https://arxiv.org/abs/2606.25212,FIX,Acceptance to IROS 2027 is stated in author arXiv v2 metadata. Retain 2026 preprint year; do not invent future proceedings DOI/pages.,2026-09-15T13:56:24.135056+00:00,Xincheng He and Rongrong Zhang and Wei Jiang and Wenqiang Xu,,True
kao2026dynamics,{$\Delta$ynamics}: Language-Based Representation for Inferring Rigid-Body Dynamics From Videos,$\Delta$ynamics: Language-Based Representation for Inferring Rigid-Body Dynamics From Videos,Chia-Hsiang Kao and Cong Phuoc Huynh and Chien-Yi Wang and Noranart Vesdapunt and Stefan Stojanov and Bharath Hariharan and Oleksandr Obiednikov and Ning Zhou,"Kao, Chia-Hsiang; Huynh, Cong Phuoc; Wang, Chien-Yi; Vesdapunt, Noranart; Stojanov, Stefan; Hariharan, Bharath; Obiednikov, Oleksandr; Zhou, Ning",IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"CVPR 2026, 42364-42374",2605.20576,https://arxiv.org/abs/2605.20576,OK,Official CVF page verifies venue and page range; arXiv preserves mathematical title styling.,2026-09-15T13:56:24.323090+00:00,Chia-Hsiang Kao and Cong Phuoc Huynh and Chien-Yi Wang and Noranart Vesdapunt and Stefan Stojanov and Bharath Hariharan and Oleksandr Obiednikov and Ning Zhou,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),False
cao2026physxanything,{PhysX-Anything}: Simulation-Ready Physical 3D Assets from Single Image,PhysX-Anything: Simulation-Ready Physical 3D Assets from Single Image,Ziang Cao and Fangzhou Hong and Zhaoxi Chen and Liang Pan and Ziwei Liu,"Cao, Ziang; Hong, Fangzhou; Chen, Zhaoxi; Pan, Liang; Liu, Ziwei",IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Project page: this https URL,2511.13648,https://arxiv.org/abs/2511.13648,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:24.294088+00:00,Ziang Cao and Fangzhou Hong and Zhaoxi Chen and Liang Pan and Ziwei Liu,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),False
yin2021aphynity,Augmenting Physical Models with Deep Networks for Complex Dynamics Forecasting,Augmenting Physical Models with Deep Networks for Complex Dynamics Forecasting,Yuan Yin and Vincent {Le Guen} and J{\'e}r{\'e}mie Dona and Emmanuel {de B{\'e}zenac} and Ibrahim Ayed and Nicolas Thome and Patrick Gallinari,"Yin, Yuan; Guen, Vincent Le; Dona, Jérémie; de Bézenac, Emmanuel; Ayed, Ibrahim; Thome, Nicolas; Gallinari, Patrick",International Conference on Learning Representations (ICLR),Accepted at ICLR 2021 (Oral); J. Stat. Mech. (2021) 124012,2010.04456,https://arxiv.org/abs/2010.04456,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:24.428620+00:00,Yuan Yin and Vincent {Le Guen} and J{\'e}r{\'e}mie Dona and Emmanuel {de B{\'e}zenac} and Ibrahim Ayed and Nicolas Thome and Patrick Gallinari,International Conference on Learning Representations (ICLR),False
revach2022kalmannet,{KalmanNet}: Neural Network Aided Kalman Filtering for Partially Known Dynamics,KalmanNet: Neural Network Aided Kalman Filtering for Partially Known Dynamics,Guy Revach and Nir Shlezinger and Xiaoyong Ni and Adri{\`a} {L{\'o}pez Escoriza} and Ruud J. G. {van Sloun} and Yonina C. Eldar,Guy Revach; Nir Shlezinger; Xiaoyong Ni; Adria Lopez Escoriza; Ruud J. G. van Sloun; Yonina C. Eldar,IEEE Transactions on Signal Processing,IEEE Transactions on Signal Processing; 70; 1532-1547,10.1109/TSP.2022.3158588,https://api.crossref.org/works/10.1109/TSP.2022.3158588,OK,Publisher-deposited Crossref bibliographic record.,2026-09-15T13:56:25.311294+00:00,Guy Revach and Nir Shlezinger and Xiaoyong Ni and Adri{\`a} {L{\'o}pez Escoriza} and Ruud J. G. {van Sloun} and Yonina C. Eldar,IEEE Transactions on Signal Processing,False
assran2025vjepa2,"{V-JEPA 2}: Self-Supervised Video Models Enable Understanding, Prediction and Planning","V-JEPA 2: Self-Supervised Video Models Enable Understanding, Prediction and Planning",Mido Assran and Adrien Bardes and David Fan and others,"Assran, Mido; Bardes, Adrien; Fan, David; Garrido, Quentin; Howes, Russell; Mojtaba; Komeili; Muckley, Matthew; Rizvi, Ammar; Roberts, Claire; Sinha, Koustuv; Zholus, Artem; Arnaud, Sergio; Gejji, Abha; Martin, Ada; Hogan, Francois Robert; Dugas, Daniel; Bojanowski, Piotr; Khalidov, Vasil; Labatut, Patrick; Massa, Francisco; Szafraniec, Marc; Krishnakumar, Kapil; Li, Yong; Ma, Xiaodong; Chandar, Sarath; Meier, Franziska; LeCun, Yann; Rabbat, Michael; Ballas, Nicolas",,"48 pages, 19 figures",2506.09985,https://arxiv.org/abs/2506.09985,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:24.700160+00:00,Mido Assran and Adrien Bardes and David Fan and others,,False
murlabadia2026vjepa21,{V-JEPA 2.1}: Unlocking Dense Features in Video Self-Supervised Learning,V-JEPA 2.1: Unlocking Dense Features in Video Self-Supervised Learning,Lorenzo Mur-Labadia and Matthew Muckley and Amir Bar and Mido Assran and Koustuv Sinha and Mike Rabbat and Yann LeCun and Nicolas Ballas and Adrien Bardes,"Mur-Labadia, Lorenzo; Muckley, Matthew; Bar, Amir; Assran, Mido; Sinha, Koustuv; Rabbat, Mike; LeCun, Yann; Ballas, Nicolas; Bardes, Adrien",,,2603.14482,https://arxiv.org/abs/2603.14482,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:24.928202+00:00,Lorenzo Mur-Labadia and Matthew Muckley and Amir Bar and Mido Assran and Koustuv Sinha and Mike Rabbat and Yann LeCun and Nicolas Ballas and Adrien Bardes,,False
yu2026ats,Answer-Level Trust Selection for Physical Vision-Language Reasoning,Answer-Level Trust Selection for Physical Vision-Language Reasoning,Rongyu Yu and Ke Niu and Fengxiang He,"Yu, Rongyu; Niu, Ke; He, Fengxiang",,Preprint,2608.19807,https://arxiv.org/abs/2608.19807,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:24.978724+00:00,Rongyu Yu and Ke Niu and Fengxiang He,,False
tan2026equisd,Teaching Vision-Language Models to Use the Scale They Are Given: Label-Free Equivariance Training for Metric Physical Reasoning,Teaching Vision-Language Models to Use the Scale They Are Given: Label-Free Equivariance Training for Metric Physical Reasoning,Kaizhen Tan and Yang Feng and Heqing Du and Siru Tao and Xin Xu and Hanzhe Hong,"Tan, Kaizhen; Feng, Yang; Du, Heqing; Tao, Siru; Xu, Xin; Hong, Hanzhe",,,2609.00658,https://arxiv.org/abs/2609.00658,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:25.177783+00:00,Kaizhen Tan and Yang Feng and Heqing Du and Siru Tao and Xin Xu and Hanzhe Hong,,False
wang2026codeworlds,Code as Worlds: Agentic Discovery of Executable World Representations for Physical Reasoning,Code as Worlds: Agentic Discovery of Executable World Representations for Physical Reasoning,Hanyang Wang and Yimo Cai and Weiliang Chen and Jiawei Chi and Haowen Sun and Qiyu Dai and Yi-Hsin Hung and Xingzhuo Guo and Jinshan Ren and Runmao Yao and Ziwei Liu and Mingsheng Long and Yueqi Duan and Jun Gao and Jiangran Lyu and Fangfu Liu and Jialong Wu,"Wang, Hanyang; Cai, Yimo; Chen, Weiliang; Chi, Jiawei; Sun, Haowen; Dai, Qiyu; Hung, Yi-Hsin; Guo, Xingzhuo; Ren, Jinshan; Yao, Runmao; Liu, Ziwei; Long, Mingsheng; Duan, Yueqi; Gao, Jun; Lyu, Jiangran; Liu, Fangfu; Wu, Jialong",,Project Page: this https URL,2608.27549,https://arxiv.org/abs/2608.27549,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:25.202779+00:00,Hanyang Wang and Yimo Cai and Weiliang Chen and Jiawei Chi and Haowen Sun and Qiyu Dai and Yi-Hsin Hung and Xingzhuo Guo and Jinshan Ren and Runmao Yao and Ziwei Liu and Mingsheng Long and Yueqi Duan and Jun Gao and Jiangran Lyu and Fangfu Liu and Jialong Wu,,False
meivar2026illposed,Ill-Posed by Design: Probing Evidence Use in {VLMs},Ill-Posed by Design: Probing Evidence Use in VLMs,Boaz Meivar and Shaked Perek and Shani Shvartzman and Eli Schwartz and Shai Avidan,"Meivar, Boaz; Perek, Shaked; Shvartzman, Shani; Schwartz, Eli; Avidan, Shai",,,2606.24335,https://arxiv.org/abs/2606.24335,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:25.465665+00:00,Boaz Meivar and Shaked Perek and Shani Shvartzman and Eli Schwartz and Shai Avidan,,False
openai2026codex,{Codex},Codex,{OpenAI},OpenAI,AI-assisted software tool,Official product page,,https://openai.com/codex/,OK,Uncited tool record; not a scientific reference.,2026-09-15T13:56:26.206625+00:00,{OpenAI},,False
